Arquivo,Status Paridade,Erros Humanos Detectados,Tracao Python,Tracao Excel,Divergencia
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 1.xlsm,FAILED,Nenhum,76.8304,62.0058,14.824582
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 10.xlsm,FAILED,Nenhum,40.3204,388.9128,348.592391
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 11.xlsm,FAILED,SOBRECARGA: Esforco(302.71) > Resistencia(300.0),18.4900,302.7128,284.222826
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 12.xlsm,FAILED,Nenhum,20.0900,391.1737,371.083696
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 13.xlsm,OK,Nenhum,18.4900,18.4900,0.000000
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 14.xlsm,FAILED,Nenhum,18.4900,132.1183,113.628261
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 15.xlsm,FAILED,Nenhum,1018.7320,546.6200,472.111957
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 16.xlsm,FAILED,Nenhum,14.1800,205.9232,191.743243
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 17.xlsm,FAILED,Nenhum,14.1800,101.2165,87.036486
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 18.xlsm,FAILED,Nenhum,14.1800,101.2165,87.036486
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 19.xlsm,FAILED,Nenhum,20.0900,481.4373,461.347297
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 2.xlsm,FAILED,Nenhum,586.5830,806.2189,219.635976
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 20.xlsm,FAILED,Nenhum,14.1800,176.6402,162.460242
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 21.xlsm,FAILED,Nenhum,20.0900,373.4481,353.358108
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 3.xlsm,FAILED,SOBRECARGA: Esforco(305.35) > Resistencia(300.0),308.3024,305.3477,2.954754
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 4.xlsm,FAILED,Nenhum,159.4476,138.8128,20.634783
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 5.xlsm,FAILED,SOBRECARGA: Esforco(595.81) > Resistencia(300.0),260.0813,595.8074,335.726087
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 6.xlsm,OK,Nenhum,20.0900,20.0900,0.000000
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 7.xlsm,FAILED,Nenhum,32.8833,299.0859,266.202609
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 8.xlsm,FAILED,Nenhum,124.4767,108.9778,15.498913
CLANDESTINO - RUA JERUSALÉM - PROJETO I - POSTE 9.xlsm,FAILED,Nenhum,167.4596,145.6607,21.798913
