Arquivo,Status Paridade,Erros Humanos Detectados,Tracao Python,Tracao Excel,Divergencia
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 1.xlsm,FAILED,Nenhum,630.0056,629.9955,0.010099
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 10.xlsm,OK,Nenhum,313.2200,313.2200,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 11.xlsm,OK,Nenhum,222.8000,222.8000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 12.xlsm,OK,Nenhum,18.4900,18.4900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 13.xlsm,OK,Nenhum,68.9900,68.9900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 14.xlsm,OK,Nenhum,290.3300,290.3300,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 15.xlsm,OK,Nenhum,552.8000,552.8000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 16.xlsm,FAILED,Nenhum,1361.4598,972.6343,388.825528
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 17.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 18.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 19.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 2.xlsm,FAILED,SOBRECARGA: Esforco(1050.00) > Resistencia(1000.0),1109.4339,1050.0006,59.433294
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 20.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 21.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 22.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 23.xlsm,ERROR,Python Engine Error: unsupported operand type(s) for *: 'int' and 'NoneType',0.0000,0.0000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 24.xlsm,FAILED,Nenhum,281.0048,327.5356,46.530808
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 25.xlsm,FAILED,Nenhum,352.5828,251.8665,100.716304
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 26.xlsm,FAILED,Nenhum,352.5828,251.8665,100.716304
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 27.xlsm,OK,Nenhum,596.0700,596.0700,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 28.xlsm,FAILED,Nenhum,282.3808,258.4852,23.895607
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 29.xlsm,OK,Nenhum,310.4131,310.4131,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 3.xlsm,FAILED,Nenhum,712.8870,1033.1235,320.236538
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 30.xlsm,OK,Nenhum,651.2926,651.2926,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 4.xlsm,OK,Nenhum,83.3900,83.3900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 5.xlsm,OK,Nenhum,304.4900,304.4900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 6.xlsm,OK,Nenhum,46.2800,46.2800,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 7.xlsm,OK,Nenhum,303.3300,303.3300,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 8.xlsm,OK,Nenhum,299.5900,299.5900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 1 - POSTE 9.xlsm,OK,Nenhum,309.8300,309.8300,0.000000
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 31.xlsm,FAILED,Nenhum,682.1680,623.5721,58.595917
AP COSMO LDA NOVA 03 - PROJETO 2 - POSTE 32.xlsm,FAILED,Nenhum,602.7558,543.3338,59.422004
